video,prompt,input_image,icon_image
maze3_0001.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0001_00.png,maze3_0001_icon.png
maze3_0002.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0002_00.png,maze3_0002_icon.png
maze3_0003.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0003_00.png,maze3_0003_icon.png
maze3_0004.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0004_00.png,maze3_0004_icon.png
maze3_0005.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0005_00.png,maze3_0005_icon.png
maze3_0006.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0006_00.png,maze3_0006_icon.png
maze3_0007.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0007_00.png,maze3_0007_icon.png
maze3_0008.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0008_00.png,maze3_0008_icon.png
maze3_0009.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0009_00.png,maze3_0009_icon.png
maze3_0010.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0010_00.png,maze3_0010_icon.png
